Device IP,Hostname,Interface,Vlan,MAC,MAC Type,Registration,Is Unique,Last Seen
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,60,00:50:56:9a:d5:89,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,60,00:50:56:9a:d8:3f,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,60,00:50:56:9a:da:d8,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,60,00:50:56:9a:e3:9d,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,60,00:50:56:9a:eb:0c,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/11,60,00:50:56:9a:fd:c6,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,60,00:50:56:9a:04:03,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,60,00:50:56:9a:0a:9d,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,60,00:50:56:9a:95:28,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/12,60,00:50:56:9a:d7:4b,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,00:1d:ac:1c:14:f1,GlobalUnicast,Gigamon Systems LLC,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,00:86:9c:c8:88:00,GlobalUnicast,Palo Alto Networks,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,3c:ec:ef:10:34:00,GlobalUnicast,"Super Micro Computer, Inc.",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,54:88:de:08:e5:00,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,54:88:de:08:e5:4f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,54:88:de:08:f3:00,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,54:88:de:08:f3:01,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,80:2d:bf:6e:5a:07,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,94:40:c9:28:63:88,GlobalUnicast,Hewlett Packard Enterprise,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,ac:1f:6b:cd:9d:20,GlobalUnicast,"Super Micro Computer, Inc.",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Eth1/5,60,cc:70:ed:16:4b:41,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:16:90,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:26:a0,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:28:43,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:28:63,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:2b:a4,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:45:c8,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:47:c1,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:5b:f0,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:7b:df,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:84:84,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:85:41,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:85:b2,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:96:24,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:a6:fe,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:ab:0c,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:c9:99,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,60,00:50:56:9a:cb:d8,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
