Device IP,Hostname,ARP IP,MAC,Interface,VRF Name,Registration,MAC48 Type,Is ProxyARP,Seen From,Seen To
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.28,f2:b9:21:ff:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:39:08.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.31,f2:22:dc:8f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T22:49:04.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.15,84:c5:a6:17:9f:cb,Te0/0/2/1.120,vae-tr,Intel Corporate,GlobalUnicast,false,2021-02-04T23:43:55.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.200,f2:22:f1:8f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:46:22.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.32,f2:22:8f:df:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:43:12.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.56,34:48:ed:9c:f0:e0,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T23:27:54.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.11.104,94:c6:91:16:a7:a9,Te0/0/2/1.120,vae-tr,"EliteGroup Computer Systems Co., LTD",GlobalUnicast,false,2021-02-04T23:37:44.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.197,f2:b9:0e:7f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:39:50.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.34,f2:8d:a9:0f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:34:00.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.67,f2:22:df:5f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T20:34:56.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.71,ec:f4:bb:37:9e:c9,Te0/0/2/1.120,vae-tr,Dell Inc.,GlobalUnicast,false,2021-02-04T20:28:56.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.30,f2:8d:e4:7f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T23:47:52.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.10.45,8c:8d:28:1f:f8:d8,Te0/0/2/1.120,vae-tr,<none>,GlobalUnicast,false,2021-02-04T23:43:21.759+00:00,2021-02-05T02:43:27.332+00:00
10.110.10.12,c9001-sprva-5501-311-104-1,10.120.11.244,f2:23:04:7f:00:78,Te0/0/2/1.120,vae-tr,<none>,LocalUnicast,false,2021-02-04T22:34:34.759+00:00,2021-02-05T02:43:27.332+00:00
