Device IP,Hostname,Interface,Vlan,MAC,MAC Type,Registration,Is Unique,Last Seen
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,65,64:3a:ea:de:ff:5f,GlobalUnicast,<none>,true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,67,00:50:56:9a:b2:21,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,70,00:50:56:6e:a1:b3,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-04T23:49:36.537+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,70,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,72,00:50:56:9a:11:34,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,72,00:50:56:9a:72:ec,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,72,00:50:56:9a:8e:9d,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,72,00:50:56:9a:ca:cb,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,73,00:50:56:9a:1b:8b,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,73,00:50:56:9a:6d:1f,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,73,00:50:56:9a:83:c3,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,73,00:50:56:9a:ad:14,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,73,00:50:56:9a:f3:7f,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,75,00:50:56:9a:43:24,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,80,e0:ac:f1:7d:a2:65,GlobalUnicast,"Cisco Systems, Inc",true,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:8a:0f:fa,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:8a:38:28,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:8a:48:37,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:8a:91:e9,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:8a:9d:46,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:8a:a5:16,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:99:68:43,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:99:92:94,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:99:94:fc,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
10.110.10.21,c5672-sprva-5501-311-101-1,Po100,100,00:50:56:99:b6:1c,GlobalUnicast,"VMware, Inc. / VMWare",false,2021-02-05T02:42:11.136+00:00
