timestamp,heartrate
2020-10-01 20:42:22 -0400,99
2020-10-01 20:47:46 -0400,67
2020-10-01 20:50:14 -0400,107
2020-10-01 20:50:19 -0400,107
2020-10-01 20:57:39 -0400,63
2020-10-01 21:02:07 -0400,57
2020-10-01 21:05:08 -0400,67
2020-10-01 21:11:29 -0400,77
2020-10-01 21:16:27 -0400,70
2020-10-01 21:20:14 -0400,74
2020-10-01 21:26:31 -0400,85
2020-10-01 21:37:50 -0400,77
2020-10-01 21:41:43 -0400,75
2020-10-01 21:46:33 -0400,80
2020-10-01 21:52:57 -0400,78
2020-10-01 21:54:26 -0400,78
2020-10-01 21:59:57 -0400,78
2020-10-01 22:06:08 -0400,83
2020-10-01 22:09:26 -0400,84
2020-10-01 22:16:42 -0400,71
2020-10-01 22:23:05 -0400,78
2020-10-01 22:26:10 -0400,72
2020-10-01 22:32:52 -0400,78
2020-10-01 22:34:34 -0400,83
2020-10-01 22:42:06 -0400,87
2020-10-01 22:44:40 -0400,81
2020-10-01 22:50:47 -0400,87
2020-10-01 22:57:16 -0400,80
2020-10-01 22:59:31 -0400,82
2020-10-01 23:04:04 -0400,80
2020-10-01 23:09:05 -0400,83
2020-10-01 23:13:55 -0400,82
2020-10-01 23:22:15 -0400,79
2020-10-01 23:25:53 -0400,81
2020-10-01 23:30:39 -0400,83
2020-10-01 23:34:20 -0400,83
2020-10-01 23:41:40 -0400,84
2020-10-01 23:48:07 -0400,83
2020-10-01 23:49:38 -0400,85
2020-10-01 23:55:29 -0400,86
2020-10-02 00:02:22 -0400,84
2020-10-02 00:05:46 -0400,79
2020-10-02 00:11:58 -0400,86
2020-10-02 00:15:49 -0400,76
2020-10-02 00:18:55 -0400,83
2020-10-02 00:27:33 -0400,81
2020-10-02 00:33:30 -0400,81
2020-10-02 00:37:03 -0400,80
2020-10-02 00:42:10 -0400,83.9344
2020-10-02 00:42:05 -0400,84
2020-10-02 00:47:46 -0400,81
2020-10-02 00:49:05 -0400,84
2020-10-02 00:56:47 -0400,84
2020-10-02 01:02:48 -0400,83
2020-10-02 01:06:26 -0400,82
2020-10-02 01:09:32 -0400,80
2020-10-02 01:13:55 -0400,91
2020-10-02 01:23:34 -0400,74
2020-10-02 01:24:57 -0400,75
2020-10-02 01:29:47 -0400,73
2020-10-02 01:33:57 -0400,73
2020-10-02 01:38:42 -0400,72
2020-10-02 01:43:57 -0400,72
2020-10-02 01:49:17 -0400,68
2020-10-02 01:54:17 -0400,68
2020-10-02 01:58:57 -0400,68
2020-10-02 02:04:37 -0400,65
2020-10-02 02:09:32 -0400,67
2020-10-02 02:13:47 -0400,68
2020-10-02 02:18:57 -0400,68
2020-10-02 02:23:52 -0400,70
2020-10-02 02:28:47 -0400,69
2020-10-02 02:34:11 -0400,74.5631
2020-10-02 02:35:31 -0400,70
2020-10-02 02:39:24 -0400,69
2020-10-02 02:44:14 -0400,67
2020-10-02 02:49:29 -0400,68
2020-10-02 02:53:59 -0400,69
2020-10-02 02:58:54 -0400,65
2020-10-02 03:04:14 -0400,66
2020-10-02 03:09:19 -0400,65
2020-10-02 03:14:04 -0400,66
2020-10-02 03:18:49 -0400,66
2020-10-02 03:23:44 -0400,66
2020-10-02 03:29:19 -0400,67
2020-10-02 03:33:44 -0400,67
2020-10-02 03:38:44 -0400,67
2020-10-02 03:43:44 -0400,67
2020-10-02 03:48:59 -0400,66
2020-10-02 03:54:04 -0400,68
2020-10-02 03:59:34 -0400,66
2020-10-02 04:03:59 -0400,66
2020-10-02 04:09:54 -0400,68
2020-10-02 04:15:09 -0400,65
2020-10-02 04:19:09 -0400,67
2020-10-02 04:24:04 -0400,67
2020-10-02 04:28:59 -0400,68
2020-10-02 04:34:04 -0400,66.9284
2020-10-02 04:36:01 -0400,69
2020-10-02 04:38:46 -0400,66
2020-10-02 04:43:56 -0400,66
2020-10-02 04:49:01 -0400,65
2020-10-02 04:53:51 -0400,64
2020-10-02 04:58:41 -0400,64
2020-10-02 05:04:06 -0400,65
2020-10-02 05:11:41 -0400,66
2020-10-02 05:13:41 -0400,65
2020-10-02 05:20:36 -0400,67
2020-10-02 05:24:17 -0400,70
2020-10-02 05:28:51 -0400,65
2020-10-02 05:33:56 -0400,66
2020-10-02 05:39:26 -0400,64
2020-10-02 05:44:01 -0400,64
2020-10-02 05:48:41 -0400,64
2020-10-02 05:56:12 -0400,69
2020-10-02 06:02:41 -0400,72
2020-10-02 06:03:51 -0400,73
2020-10-02 06:08:41 -0400,71
2020-10-02 06:13:59 -0400,69
2020-10-02 06:21:51 -0400,72
2020-10-02 06:23:40 -0400,71
2020-10-02 06:29:11 -0400,71
2020-10-02 06:34:10 -0400,71.4419
2020-10-02 06:37:43 -0400,78
2020-10-02 06:42:28 -0400,64
2020-10-02 06:43:43 -0400,66
2020-10-02 06:52:45 -0400,66
2020-10-02 06:55:01 -0400,65
2020-10-02 07:00:38 -0400,66
2020-10-02 07:04:08 -0400,66
2020-10-02 07:09:23 -0400,66
2020-10-02 07:14:48 -0400,63
2020-10-02 07:22:11 -0400,65
2020-10-02 07:24:23 -0400,66
2020-10-02 07:30:40 -0400,64
2020-10-02 07:34:48 -0400,63
2020-10-02 07:42:43 -0400,65
2020-10-02 07:46:44 -0400,67
2020-10-02 07:48:48 -0400,66
2020-10-02 07:54:18 -0400,65
2020-10-02 08:02:30 -0400,67
2020-10-02 08:04:53 -0400,64
2020-10-02 08:09:23 -0400,64
2020-10-02 08:15:28 -0400,67
2020-10-02 08:20:36 -0400,64
2020-10-02 08:24:12 -0400,68
2020-10-02 08:35:41 -0400,80
2020-10-02 08:31:23 -0400,75
2020-10-02 08:42:51 -0400,71
2020-10-02 08:47:38 -0400,71
2020-10-02 08:49:33 -0400,71
2020-10-02 09:00:30 -0400,98
2020-10-02 08:57:15 -0400,68
2020-10-02 09:12:32 -0400,112
2020-10-02 09:06:56 -0400,75
2020-10-02 09:15:26 -0400,133
2020-10-02 09:15:31 -0400,136
2020-10-02 09:15:32 -0400,136
2020-10-02 09:15:45 -0400,149
2020-10-02 09:15:50 -0400,139
2020-10-02 09:15:53 -0400,139
2020-10-02 09:16:00 -0400,140
2020-10-02 09:16:04 -0400,139
2020-10-02 09:16:07 -0400,139
2020-10-02 09:16:15 -0400,140
2020-10-02 09:16:17 -0400,140
2020-10-02 09:16:24 -0400,142
2020-10-02 09:16:30 -0400,140
2020-10-02 09:16:31 -0400,140
2020-10-02 09:16:36 -0400,137
2020-10-02 09:16:45 -0400,138
2020-10-02 09:16:50 -0400,138
2020-10-02 09:16:51 -0400,138
2020-10-02 09:16:56 -0400,138
2020-10-02 09:17:05 -0400,139
2020-10-02 09:17:08 -0400,139
2020-10-02 09:17:15 -0400,139
2020-10-02 09:17:18 -0400,139
2020-10-02 09:17:21 -0400,139
2020-10-02 09:17:26 -0400,138
2020-10-02 09:17:35 -0400,138
2020-10-02 09:17:38 -0400,138
2020-10-02 09:17:43 -0400,137
2020-10-02 09:17:49 -0400,139
2020-10-02 09:17:51 -0400,139
2020-10-02 09:17:57 -0400,138
2020-10-02 09:18:05 -0400,137
2020-10-02 09:18:08 -0400,137
2020-10-02 09:18:14 -0400,137
2020-10-02 09:18:20 -0400,135
2020-10-02 09:18:21 -0400,135
2020-10-02 09:18:27 -0400,135
